"y","ave_degree","transitivity","motif_3_1","motif_3_2","motif_4_1","motif_4_2","motif_4_3","motif_4_4","motif_4_5","motif_4_6","density","community_id","week","next_y","next_ave_degree","next_transitivity","next_motif_3_1","next_motif_3_2","next_motif_4_1","next_motif_4_2","next_motif_4_3","next_motif_4_4","next_motif_4_5","next_motif_4_6","next_density","next_community_id"
6,6,0.714285714285714,6,5,0,0,9,0,0,1,1.2,3,20,4,3,0,3,0,1,0,0,0,0,0,1,3
5,4,0.428571428571429,4,1,0,1,2,0,0,0,1,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,2,0,0,1,0,0,0,0,1,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.66666666666667,0.428571428571429,8,2,4,0,6,0,0,0,0.933333333333333,1,21,8,8.5,0.857142857142857,10,20,0,1,20,0,0,15,1.21428571428571,1
5,3.2,0,4,0,1,2,0,0,0,0,0.8,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,3,0,1,0,0,0,0,0,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,6,21,4,3,0,2,0,0,1,0,0,0,0,1,4
2,2,0,0,0,0,0,0,0,0,0,2,6,21,2,2,0,0,0,0,0,0,0,0,0,2,7
2,2,0,0,0,0,0,0,0,0,0,2,7,21,4,3,0,2,0,0,1,0,0,0,0,1,4
8,8.5,0.857142857142857,10,20,0,1,20,0,0,15,1.21428571428571,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,1,0,4,0,0,0,0,0,1,2,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0.6,2,1,0,0,1,0,0,0,1.33333333333333,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,2,0,0,1,0,0,0,0,1,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,0.375,5,1,0,3,2,0,0,0,0.8,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,1,0,4,0,0,0,0,0,1,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,3,23,6,5.33333333333333,0.666666666666667,6,4,0,1,6,0,0,1,1.06666666666667,2
2,2,0,0,0,0,0,0,0,0,0,2,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6.85714285714286,0.769230769230769,9,10,4,0,12,0,0,5,1.14285714285714,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.33333333333333,0.666666666666667,6,4,0,1,6,0,0,1,1.06666666666667,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,1,0,4,0,0,0,0,0,1,2,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,4,24,4,4,0.6,2,1,0,0,1,0,0,0,1.33333333333333,2
2,2,0,0,0,0,0,0,0,0,0,2,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,14,1,0,56,0,0,0,0,0,70,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0.6,2,1,0,0,1,0,0,0,1.33333333333333,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0.6,2,1,0,0,1,0,0,0,1.33333333333333,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,4,25,10,5.6,0.473684210526316,20,6,6,11,25,0,0,1,0.622222222222222,1
3,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,4,25,8,4.5,0.315789473684211,13,2,6,6,6,0,1,0,0.642857142857143,2
2,2,0,0,0,0,0,0,0,0,0,2,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,6,25,10,5.6,0.473684210526316,20,6,6,11,25,0,0,1,0.622222222222222,1
2,2,0,0,0,0,0,0,0,0,0,2,6,25,5,8,1,0,10,0,0,0,0,0,5,2,3
2,2,0,0,0,0,0,0,0,0,0,2,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,9,25,2,2,0,0,0,0,0,0,0,0,0,2,6
2,2,0,0,0,0,0,0,0,0,0,2,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5.6,0.473684210526316,20,6,6,11,25,0,0,1,0.622222222222222,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4.5,0.315789473684211,13,2,6,6,6,0,1,0,0.642857142857143,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,1,0,10,0,0,0,0,0,5,2,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0.6,2,1,0,0,1,0,0,0,1.33333333333333,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0
